============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  23 um) ================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54 19 .1519042E+11   2300002E-01 -.3479E+01  .1437E+02   .9999999 -.0000498  .0002298
T   55 19 .1518973E+11   2300021E-01 -.5187E+01 -.2075E+02   .9999999 -.0001089 -.0004102
T   56 19 .1518980E+11   2300013E-01 -.4544E+01  .1034E+02   .9999999  .0000466  .0001263
T   57 19 .1518874E+11   2300017E-01  .3601E+01  .1086E+02   .9999999  .0001023  .0001057
T   58 19 .1519062E+11   2300022E-01  .1536E+02 -.8667E+01   .9999999  .0001558 -.0001019
T   59 19 .1518999E+11   2300015E-01  .2797E+02  .1010E+03   .9999989  .0006582  .0013174
T   60 19 .1518926E+11   2300006E-01 -.7277E+01  .7635E+01   .9999999 -.0000956  .0000891
T   61 19 .1519112E+11   2300012E-01 -.3614E+01 -.3171E+02   .9999999 -.0000669 -.0003978
T   62 19 .1519175E+11   2300007E-01  .4141E+01  .6174E+01   .9999999  .0000441  .0001365
T   63 19 .1519082E+11   2300008E-01  .6775E+01 -.2667E+01   .9999999  .0000475 -.0000329
T   64 19 .1519160E+11   2300014E-01 -.1360E+02 -.3970E+01   .9999999 -.0002170 -.0000165
T   65 19 .1519078E+11   2300010E-01  .2107E+00  .2168E+02   .9999999 -.0000340  .0002546
T   66 19 .1518995E+11   2300019E-01 -.3119E+02 -.1875E+02   .9999999 -.0003588 -.0000714
T   67 19 .1519047E+11   2300010E-01 -.2313E+01 -.4889E+01   .9999999  .0000113 -.0000370
T   68 19 .1519131E+11   2300006E-01 -.1729E+02  .8437E+01   .9999999 -.0001474  .0001963
T   69 19 .1518946E+11   2300017E-01 -.3035E+01  .1664E+02   .9999999 -.0001065  .0002572
T   70 19 .1519097E+11   2300020E-01 -.1401E+02 -.2638E+01   .9999999 -.0001529 -.0000426
T   71 19 .1519076E+11   2300019E-01 -.9564E+01  .1181E+02   .9999999 -.0001708  .0001459
T   72 19 .1518905E+11   2300001E-01  .4920E+01  .1942E+02   .9999999  .0000333  .0001758
T   73 19 .1518988E+11   2300015E-01  .1522E+01  .1349E+02   .9999999  .0000620  .0000917
T   74 19 .1519070E+11   2300012E-01  .1067E+02 -.1421E+01   .9999999  .0001354 -.0000404
T   75 19 .1518977E+11   2300000E-01 -.1692E+02 -.4152E+02   .9999998 -.0003565 -.0005044
T   76 19 .1519008E+11   2300022E-01  .2578E+01 -.1370E+02   .9999999  .0000228 -.0000645
T   77 19 .1519085E+11   2300010E-01  .5432E+01  .3373E+01   .9999999  .0000594 -.0000150
T   78 19 .1518993E+11   2300001E-01  .1171E+01  .9348E+01   .9999999  .0001897  .0001337
T   79 19 .1519085E+11   2300012E-01 -.2181E+01  .1710E+02   .9999999 -.0000674  .0000534
T   80 19 .1518973E+11   2300023E-01  .1197E+02  .5471E+01   .9999999  .0000537  .0000009
T   81 19 .1519012E+11   2300004E-01 -.1431E+02  .1591E+02   .9999999 -.0001194  .0000568
T   82 19 .1519087E+11   2300011E-01  .2611E+02  .1017E+02   .9999999  .0001581  .0000511
T   83 19 .1518857E+11   2300005E-01  .2317E+01  .1782E+02   .9999999  .0001647  .0001295
T   84 19 .1518921E+11   2300021E-01 -.3129E+01 -.1035E+02   .9999999  .0001425 -.0003652
T   85 19 .1518984E+11   2300014E-01 -.8200E+01 -.5567E+01   .9999999 -.0000070 -.0000544
T   86 19 .1519039E+11   2300008E-01 -.1278E+02 -.1926E+01   .9999999 -.0001662  .0000732
T   87 19 .1519006E+11   2300016E-01 -.1659E+01 -.5761E+01   .9999999 -.0000819  .0000124
T   88 19 .1519031E+11   2300018E-01  .8569E+01  .5356E+01   .9999999 -.0001130  .0000592
T   89 19 .1519065E+11   2300007E-01 -.1439E+02 -.4956E+01   .9999999 -.0001475 -.0000915
T   90 19 .1519039E+11   2300019E-01  .3559E+01  .3124E+01   .9999999  .0001002  .0000397
T   91 19 .1518987E+11   2300006E-01 -.1355E+01 -.5303E+01   .9999999 -.0001057 -.0001320
T   92 19 .1518911E+11   2300022E-01  .4752E+01 -.1823E+02   .9999999  .0000965 -.0000258
T   93 19 .1518967E+11   2300018E-01 -.1024E+02 -.1433E+02   .9999999 -.0002477 -.0002650
T   94 19 .1518966E+11   2300008E-01 -.1329E+02 -.6560E+01   .9999999 -.0001636 -.0001176
T   95 19 .1519019E+11   2300006E-01 -.1294E+02 -.1404E+02   .9999999 -.0001698 -.0002639
T   96 19 .1518928E+11   2300017E-01  .3455E-01 -.1934E+00   .9999999  .0000581  .0000206
T   97 19 .1518953E+11   2300008E-01 -.4205E+01  .9574E+00   .9999999 -.0000301  .0000720
T   98 19 .1519065E+11   2300011E-01  .1777E+02 -.1573E+02   .9999999  .0002072 -.0000941
T   99 19 .1518839E+11   2300002E-01 -.1089E+02 -.6960E+01   .9999999 -.0000025 -.0000395
T  100 19 .1518972E+11   2300019E-01 -.1525E+02 -.1103E+02   .9999999 -.0001210 -.0000927
T  101 19 .1519115E+11   2300013E-01  .1204E+00 -.1204E+01   .9999999 -.0001177 -.0000822
T  102 19 .1519008E+11   2300019E-01  .1379E+02 -.8066E+01   .9999999  .0002275 -.0002815
T  103 19 .1519137E+11   2300004E-01 -.4008E+01 -.1051E+02   .9999999 -.0000601 -.0000791
T  104 19 .1519135E+11   2300021E-01 -.1101E+00  .5462E+01   .9999999 -.0000408 -.0000732
T  105 19 .1518829E+11   2300004E-01  .2633E+02  .1010E+02   .9999999  .0001293 -.0000454
T  106 19 .1518944E+11   2300022E-01  .1316E+02 -.1481E+02   .9999999  .0000744 -.0001627
T  107 19 .1519070E+11   2300009E-01 -.1018E+02 -.5234E+01   .9999999 -.0001186  .0000009
T  108 19 .1519022E+11   2300007E-01 -.7479E+01 -.2477E+01   .9999999 -.0003533 -.0000728
T  109 19 .1518999E+11   2300013E-01 -.1595E+02 -.7597E+00   .9999999 -.0002536  .0000859
T  110 19 .1518921E+11   2300018E-01  .1780E+02 -.7353E+00   .9999999  .0002643 -.0001163
T  111 19 .1519075E+11   2300015E-01 -.1560E+02 -.6299E+00   .9999999 -.0001020 -.0000622
T  112 19 .1518952E+11   2300019E-01  .3626E+01 -.5099E+01   .9999999  .0000477 -.0000760
T  113 19 .1519141E+11   2300009E-01 -.1657E+01 -.8324E+01   .9999999  .0000357 -.0000902
T  114 19 .1518988E+11   2300021E-01  .3158E+01  .1262E+02   .9999999 -.0001168  .0000656
T  115 19 .1518931E+11   2300023E-01 -.9041E+01  .2779E+01   .9999999  .0000405  .0000575
T  116 19 .1519109E+11   2300009E-01 -.5691E+01 -.7314E+01   .9999999 -.0000579 -.0001537
T  117 19 .1519239E+11   2300020E-01  .6615E+01 -.1005E+02   .9999999 -.0000135 -.0000957
T  118 19 .1518991E+11   2300021E-01  .1371E+02 -.1011E+02   .9999999  .0002670 -.0004098
T  119 19 .1518991E+11   2300003E-01  .1503E+02  .1802E+02   .9999999  .0003188  .0001841
T  120 19 .1519082E+11   2300022E-01 -.9597E+01 -.2000E+00   .9999999 -.0001382 -.0000312
T  121 19 .1519029E+11   2300014E-01 -.2366E+02 -.5425E+01   .9999999 -.0003751 -.0001777
T  122 19 .1518944E+11   2300007E-01 -.4475E+00 -.4815E+01   .9999999  .0000087 -.0000283
T  123 19 .1518952E+11   2300019E-01 -.3346E+01 -.3927E+01   .9999999 -.0001552 -.0000606
T  124 19 .1519145E+11   2300001E-01  .1520E-01 -.2137E+01   .9999999  .0000192 -.0001394
T  125 19 .1519038E+11   2300019E-01 -.1163E+02  .2505E+02   .9999999 -.0000680  .0004704
T  126 19 .1519120E+11   2300020E-01  .1276E+02  .2693E+02   .9999999  .0001640  .0003591
T  127 19 .1519050E+11   2300022E-01  .8114E+00  .2240E+02   .9999999  .0000909  .0000982
T  128 19 .1519107E+11   2300013E-01  .2480E+02 -.1599E+02   .9999999  .0001411 -.0003220
T  129 19 .1519000E+11   2300021E-01 -.8269E+01  .6138E+01   .9999999 -.0001131 -.0000509
T  130 19 .1518999E+11   2300016E-01 -.2193E+02  .1130E+02   .9999999 -.0001628  .0001017
T  131 19 .1519108E+11   2300015E-01  .9935E+00 -.2985E+01   .9999999  .0000096 -.0001800
T  132 19 .1518969E+11   2300013E-01 -.7179E+01  .2007E+00   .9999999 -.0000927  .0000274
T  133 19 .1519046E+11   2300003E-01  .8766E+01  .9354E+01   .9999999  .0001357  .0000283
T  134 19 .1519010E+11   2300018E-01 -.2248E+01  .1305E+02   .9999999 -.0000213  .0001704
T  135 19 .1519083E+11   2300000E-01  .1593E+02  .1055E+02   .9999999  .0001050  .0001706
T  136 19 .1518928E+11   2300022E-01  .1992E+02 -.6458E+01   .9999999  .0002857 -.0000884
T  137 19 .1519127E+11   2300011E-01 -.8717E+01 -.3146E+01   .9999999  .0000654 -.0002567
T  138 19 .1518829E+11   2300017E-01  .3367E+01 -.4814E+01   .9999999 -.0000439 -.0000459
T  139 19 .1519028E+11   2300009E-01 -.1081E+02  .1600E+02   .9999999 -.0002984  .0002751
T  140 19 .1519017E+11   2300015E-01  .3896E+01 -.8879E+01   .9999999  .0000932 -.0001177
T  141 19 .1519087E+11   2300005E-01  .2659E+02 -.1037E+01   .9999999  .0003361 -.0000789
T  142 19 .1518946E+11   2300007E-01  .1886E+02 -.1143E+02   .9999999  .0002743 -.0000336
T  143 19 .1519133E+11   2300020E-01  .3420E+01  .1180E+01   .9999999  .0001760  .0001093
T  144 19 .1519057E+11   2300003E-01 -.1372E+02 -.1639E+01   .9999999 -.0001436 -.0001011
T  145 19 .1518873E+11   2300015E-01 -.1282E+02 -.5457E+01   .9999999 -.0000761 -.0001185
T  146 19 .1518876E+11   2300022E-01 -.2016E+02 -.2907E+01   .9999999 -.0002660 -.0000095
T  147 19 .1519014E+11   2300009E-01  .6203E+02 -.2321E+02   .9999998  .0006297 -.0001568
T  148 19 .1519027E+11   2300023E-01 -.1067E+02  .1865E+02   .9999999 -.0001171  .0000207
