============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Tarcza(  11 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 1625 19 .1519401E+11   1100022E-01  .1768E+02 -.2853E+00   .9999999  .0002016  .0000059
T 1626 19 .1519244E+11   1100014E-01  .8818E+00  .7667E+01   .9999999  .0000182  .0000686
T 1627 19 .1519277E+11   1100018E-01  .1715E+02 -.1425E+01   .9999999  .0002871 -.0000411
T 1628 19 .1519302E+11   1100022E-01 -.6002E+01 -.4855E+01   .9999999 -.0000294 -.0000984
T 1629 19 .1519316E+11   1100011E-01  .2741E+01 -.3258E+01   .9999999 -.0000329 -.0000556
T 1630 19 .1519312E+11   1100022E-01 -.1677E+01  .2062E+02   .9999998 -.0000793  .0006082
T 1631 19 .1519158E+11   1100010E-01 -.1014E+02 -.6432E+00   .9999999 -.0000696 -.0000191
T 1632 19 .1519381E+11   1100019E-01 -.5333E+01 -.9385E+01   .9999999 -.0001482 -.0001574
T 1633 19 .1519184E+11   1100020E-01  .4558E+01  .3809E+00   .9999999  .0000632  .0000702
T 1634 19 .1519234E+11   1100021E-01  .7110E+01 -.3250E+00   .9999999  .0001688 -.0000884
T 1635 19 .1519310E+11   1100013E-01  .5388E+01  .2031E+01   .9999999  .0002036 -.0001084
T 1636 19 .1519219E+11   1100009E-01  .2482E+01 -.4247E+01   .9999999 -.0000019 -.0000435
T 1637 19 .1519283E+11   1100022E-01  .4065E+01  .9845E+00   .9999999 -.0001053  .0000655
T 1638 19 .1519194E+11   1100005E-01  .6304E+01  .1296E+02   .9999999  .0000632  .0001283
T 1639 19 .1519325E+11   1100003E-01  .2425E+01 -.1272E+02   .9999999  .0002432 -.0002237
T 1640 19 .1519316E+11   1100005E-01  .6409E+01  .1387E+02   .9999999  .0001382  .0001495
T 1641 19 .1519210E+11   1100020E-01 -.6454E+01  .3343E+01   .9999999 -.0000790  .0000428
T 1642 19 .1519276E+11   1100003E-01 -.9871E+01  .2850E+01   .9999999 -.0001547 -.0000289
T 1643 19 .1519330E+11   1100001E-01  .2306E+01 -.2647E+01   .9999999  .0001063 -.0000520
T 1644 19 .1519370E+11   1100021E-01  .3670E+01 -.2047E+01   .9999999  .0000552  .0000084
T 1645 19 .1519280E+11   1100013E-01 -.8135E+01 -.4481E+01   .9999999 -.0001471 -.0001311
T 1646 19 .1519312E+11   1100003E-01  .7798E+01  .7841E+01   .9999999  .0001773 -.0000089
T 1647 19 .1519331E+11   1100021E-01  .9567E+00  .2369E+01   .9999999  .0000840  .0000703
T 1648 19 .1519287E+11   1100019E-01 -.6451E+00  .2224E+02   .9999999 -.0000549  .0002788
T 1649 19 .1519254E+11   1100020E-01 -.4089E+01 -.1112E+01   .9999999 -.0000880  .0000009
T 1650 19 .1519333E+11   1100013E-01  .1043E+02  .1037E+02   .9999999  .0001158  .0002532
T 1651 19 .1519244E+11   1100007E-01 -.2404E+01  .2635E+01   .9999999  .0000007 -.0000238
T 1652 19 .1519425E+11   1100006E-01 -.4801E+01 -.3774E+01   .9999999  .0000489 -.0000846
T 1653 19 .1519234E+11   1100022E-01 -.1088E+02  .2512E+01   .9999999 -.0001242 -.0000195
T 1654 19 .1519241E+11   1100002E-01 -.1073E+02 -.1733E+01   .9999999 -.0001528  .0000557
T 1655 19 .1519314E+11   1100020E-01 -.2219E+01  .2806E+01   .9999999  .0001214 -.0000340
T 1656 19 .1519433E+11   1100002E-01  .2684E+01 -.2150E+01   .9999999  .0001627 -.0001130
T 1657 19 .1519337E+11   1100002E-01  .2093E+02  .3639E+01   .9999999  .0002443  .0000959
T 1658 19 .1519363E+11   1100000E-01 -.3964E+01 -.1392E+01   .9999999 -.0002195  .0000227
T 1659 19 .1519422E+11   1100023E-01 -.7253E+01 -.1706E+02   .9999999 -.0001018 -.0002053
T 1660 19 .1519295E+11   1100013E-01  .5291E+01  .8851E+01   .9999999  .0001365  .0002253
T 1661 19 .1519184E+11   1100012E-01  .8610E+01 -.6004E+01   .9999999  .0000469 -.0000005
T 1662 19 .1519302E+11   1100017E-01  .3720E+01 -.2782E+01   .9999999  .0000395 -.0000338
T 1663 19 .1519394E+11   1100018E-01  .7852E+01 -.4054E+01   .9999999  .0001244 -.0001128
T 1664 19 .1519302E+11   1100023E-01  .5918E+01  .1029E+02   .9999999  .0001086  .0001655
T 1665 19 .1519321E+11   1100015E-01 -.6051E+01 -.7101E+01   .9999999 -.0001413 -.0001261
T 1666 19 .1519341E+11   1100019E-01  .3346E+01  .3269E+01   .9999999  .0000138  .0001399
T 1667 19 .1519076E+11   1100020E-01 -.1124E+02 -.3221E+00   .9999999 -.0002099 -.0000808
T 1668 19 .1519291E+11   1100020E-01 -.2918E+01 -.1754E+02   .9999999 -.0001049 -.0002758
T 1669 19 .1519337E+11   1100021E-01  .1581E+02  .1443E+02   .9999999  .0001424  .0002670
T 1670 19 .1519224E+11   1100019E-01 -.7482E+01  .1328E+02   .9999999 -.0001244  .0002295
T 1671 19 .1519294E+11   1100018E-01 -.2622E+01  .2648E+01   .9999999  .0001132  .0001076
T 1672 19 .1519341E+11   1100004E-01 -.1302E+02  .1120E+02   .9999999 -.0001997  .0000859
T 1673 19 .1519247E+11   1100016E-01 -.6158E+02 -.3756E+02   .9999997 -.0006976 -.0003659
T 1674 19 .1519207E+11   1100009E-01  .4402E+01 -.2281E+01   .9999999  .0001540 -.0000676
T 1675 19 .1519183E+11   1100011E-01 -.2197E+01 -.1087E+02   .9999999 -.0000946 -.0000290
T 1676 19 .1519178E+11   1100015E-01 -.3239E+01  .4566E+01   .9999999 -.0001630 -.0000123
T 1677 19 .1519291E+11   1100016E-01 -.2547E+01  .4666E+01   .9999999  .0000950  .0001037
T 1678 19 .1519334E+11   1100019E-01 -.7095E+01  .2715E+01   .9999999 -.0000547 -.0000015
T 1679 19 .1519182E+11   1100006E-01  .6789E+01 -.3977E+01   .9999999  .0001187 -.0000519
T 1680 19 .1519291E+11   1100003E-01  .2086E+01  .7791E+01   .9999999  .0001357  .0000107
T 1681 19 .1519297E+11   1100020E-01  .8412E+01  .6431E+01   .9999999  .0002337  .0001805
T 1682 19 .1519224E+11   1100018E-01 -.1548E+00 -.1302E+01   .9999999  .0001015 -.0000379
T 1683 19 .1519345E+11   1100000E-01  .1180E+02  .1179E+02   .9999999  .0000849  .0002007
T 1684 19 .1519373E+11   1100015E-01  .2792E+01  .1050E+02   .9999999  .0000066  .0002267
T 1685 19 .1519380E+11   1100013E-01 -.9253E+01  .6811E+01   .9999999 -.0001719  .0001182
T 1686 19 .1519199E+11   1100020E-01 -.1262E+01  .7623E+01   .9999999 -.0000432  .0001056
T 1687 19 .1519331E+11   1100001E-01  .1046E+02  .1099E+02   .9999999  .0001233  .0000889
T 1688 19 .1519392E+11   1100017E-01  .9810E+01  .9167E+01   .9999999  .0000791  .0001497
T 1689 19 .1519109E+11   1100004E-01  .4166E+01 -.5321E+01   .9999999 -.0000218  .0000513
T 1690 19 .1519301E+11   1100001E-01  .6451E+01  .3778E+01   .9999999  .0000216  .0000432
T 1691 19 .1519311E+11   1100002E-01  .1839E+01  .7118E+01   .9999999  .0000440  .0001393
T 1692 19 .1519212E+11   1100005E-01 -.9453E+01  .1240E+01   .9999999 -.0000948  .0000034
T 1693 19 .1519418E+11   1100002E-01 -.8097E+01  .4234E+01   .9999999 -.0000429  .0000474
T 1694 19 .1519288E+11   1100019E-01  .2040E+01 -.8740E+00   .9999999  .0000650  .0000175
T 1695 19 .1519339E+11   1100012E-01  .5504E+01 -.9764E+00   .9999999  .0001365 -.0001005
T 1696 19 .1519262E+11   1100001E-01 -.1019E+02  .1290E+02   .9999999 -.0001752  .0001750
T 1697 19 .1519348E+11   1100016E-01  .2303E+02  .2128E+02   .9999999  .0003193  .0001967
T 1698 19 .1519318E+11   1100001E-01 -.6159E+01  .2599E+01   .9999999  .0002496 -.0003131
T 1699 19 .1519215E+11   1100011E-01 -.1081E+02 -.1873E+01   .9999999 -.0001580 -.0002220
T 1700 19 .1519225E+11   1100001E-01  .8445E+00 -.1765E+01   .9999999  .0001000 -.0001258
T 1701 19 .1519224E+11   1100023E-01 -.3279E+01  .4732E+01   .9999999 -.0002476  .0000115
T 1702 19 .1519233E+11   1100017E-01 -.3733E+01 -.2056E+02   .9999999 -.0000888 -.0002688
T 1703 19 .1519162E+11   1100011E-01  .9447E+01 -.1385E+01   .9999999  .0002399 -.0001806
T 1704 19 .1519186E+11   1100017E-01 -.1130E+01  .1299E+01   .9999999  .0002366  .0001404
T 1705 19 .1519174E+11   1100004E-01 -.4696E+01  .4570E+01   .9999999 -.0001273  .0001107
T 1706 19 .1519223E+11   1100005E-01  .3599E+01 -.1689E+01   .9999999  .0000981  .0000445
T 1707 19 .1519151E+11   1100023E-01 -.7272E+01  .2285E+01   .9999999 -.0000829  .0000648
T 1708 19 .1519226E+11   1100020E-01 -.1458E+02  .3445E+01   .9999999 -.0001557  .0000612
T 1709 19 .1519221E+11   1100022E-01 -.1316E+02 -.3328E+02   .9999998 -.0002534 -.0005344
T 1710 19 .1519395E+11   1100020E-01  .3800E+01 -.4332E+01   .9999999  .0002767 -.0000025
T 1711 19 .1519281E+11   1100009E-01 -.3272E+02  .1101E+02   .9999999 -.0004177  .0001211
T 1712 19 .1519319E+11   1100018E-01  .7521E+01  .6106E+01   .9999999  .0001578  .0000321
T 1713 19 .1519246E+11   1100005E-01 -.6103E+01  .3355E+02   .9999999  .0000181  .0005277
T 1714 19 .1519264E+11   1100019E-01  .4796E+01 -.1621E+01   .9999999  .0000547  .0000248
T 1715 19 .1519325E+11   1100021E-01  .7962E+01 -.1682E+02   .9999999  .0000783 -.0001907
T 1716 19 .1519329E+11   1100005E-01  .1044E+02 -.1279E+02   .9999999  .0000228 -.0001333
T 1717 19 .1519202E+11   1100019E-01 -.2595E+01 -.1499E+02   .9999999 -.0000845 -.0001786
T 1718 19 .1519182E+11   1100004E-01 -.4850E+01 -.4228E+01   .9999999 -.0000846 -.0000672
T 1719 19 .1519312E+11   1100006E-01 -.1891E+02 -.1030E+02   .9999998 -.0004606 -.0004227
T 1720 19 .1519276E+11   1100005E-01  .2292E+00  .8433E+01   .9999999 -.0000071  .0002624
T 1721 19 .1519335E+11   1100011E-01 -.3686E+01 -.9954E+01   .9999999 -.0000253 -.0001082
T 1722 19 .1519286E+11   1100018E-01  .1042E+02  .2974E+01   .9999999  .0001293 -.0000865
T 1723 19 .1519295E+11   1100008E-01  .8757E+01 -.1118E+02   .9999999  .0001283 -.0001306
T 1724 19 .1519224E+11   1100003E-01 -.2631E+01 -.3249E+00   .9999999  .0000803 -.0000226
T 1725 19 .1519144E+11   1100020E-01 -.3002E+02 -.1803E+02   .9999997 -.0006669 -.0004286
T 1726 19 .1519377E+11   1100013E-01 -.1271E+00  .1338E+02   .9999999  .0001531  .0002417
T 1727 19 .1519215E+11   1100022E-01  .9774E+01  .9577E+01   .9999999  .0001517  .0000974
T 1728 19 .1519197E+11   1100022E-01 -.1758E+02  .4856E+01   .9999999 -.0001910  .0000573
T 1729 19 .1519267E+11   1100008E-01 -.2942E+02 -.1285E+02   .9999999 -.0003923 -.0000859
T 1730 19 .1519268E+11   1100017E-01 -.3633E+01 -.5617E+01   .9999999 -.0000240  .0000036
T 1731 19 .1519102E+11   1100020E-01 -.1702E+02 -.4801E+01   .9999999 -.0002247  .0000208
T 1732 19 .1519225E+11   1100013E-01 -.4089E+00  .4423E+01   .9999999 -.0000045  .0000896
T 1733 19 .1519307E+11   1100009E-01  .2548E+02 -.1417E+01   .9999999  .0003389 -.0000659
T 1734 19 .1519181E+11   1100015E-01 -.5256E+01  .4330E+01   .9999999 -.0002067  .0001440
T 1735 19 .1519317E+11   1100021E-01  .3734E+02  .8960E+01   .9999999  .0004694  .0002150
T 1736 19 .1519176E+11   1100022E-01  .1714E+02 -.2638E+01   .9999999  .0003051 -.0000004
T 1737 19 .1519345E+11   1100009E-01  .3953E+01 -.7180E+01   .9999999 -.0000667 -.0000781
T 1738 19 .1519299E+11   1100008E-01  .7525E+01  .6117E+01   .9999999  .0002194  .0001366
T 1739 19 .1519251E+11   1100005E-01 -.5457E+01  .1447E+02   .9999999 -.0001165  .0002038
T 1740 19 .1519154E+11   1100011E-01 -.2651E+01  .1813E+02   .9999999 -.0000435  .0001678
T 1741 19 .1519329E+11   1100001E-01  .5271E+00  .9145E+01   .9999999 -.0000221  .0001437
T 1742 19 .1519154E+11   1100021E-01 -.7512E-01  .2056E+02   .9999999 -.0000157  .0002869
T 1743 19 .1519367E+11   1100004E-01  .8042E+01 -.2587E+02   .9999999  .0002950 -.0003675
T 1744 19 .1519347E+11   1100012E-01 -.1049E+02 -.3567E+01   .9999999 -.0001052  .0000444
T 1745 19 .1519298E+11   1100014E-01 -.8361E+01  .1288E+02   .9999999 -.0004314  .0001657
T 1746 19 .1519425E+11   1100009E-01  .8034E+01 -.4452E+00   .9999999  .0000249  .0000787
T 1747 19 .1519261E+11   1100002E-01 -.1427E+01  .2503E+01   .9999999 -.0001006  .0000678
T 1748 19 .1519214E+11   1100011E-01  .1446E+02 -.4048E+02   .9999999  .0001386 -.0003835
T 1749 19 .1519354E+11   1100018E-01 -.4291E+01  .3071E+01   .9999999  .0000052  .0000374
T 1750 19 .1519351E+11   1100012E-01  .9264E+01 -.3982E+01   .9999999  .0001258  .0000296
T 1751 19 .1519259E+11   1100021E-01  .5412E+01 -.1476E+02   .9999999  .0002249 -.0001820
T 1752 19 .1519256E+11   1100016E-01  .7624E+01 -.4365E+01   .9999999  .0000071 -.0000812
T 1753 19 .1519244E+11   1100009E-01 -.3681E+01  .4936E+01   .9999999 -.0000101  .0000845
T 1754 19 .1519307E+11   1100015E-01 -.1520E+00  .9910E+01   .9999999 -.0000476  .0000351
T 1755 19 .1519193E+11   1100015E-01  .2163E+02 -.9054E+01   .9999999  .0002439 -.0001229
T 1756 19 .1519327E+11   1100020E-01  .5831E+01  .2370E+02   .9999998  .0001912  .0005982
T 1757 19 .1519210E+11   1100014E-01 -.9163E+01  .2846E+02   .9999999 -.0001814  .0004153
T 1758 19 .1519297E+11   1100004E-01  .1218E+02  .1091E+01   .9999999  .0002148  .0000424
T 1759 19 .1519420E+11   1100021E-01 -.1345E+01 -.2951E+01   .9999999  .0000538  .0000585
T 1760 19 .1519150E+11   1100020E-01  .4392E+01 -.7965E+01   .9999999  .0000163 -.0001180
T 1761 19 .1519233E+11   1100015E-01 -.1434E+02  .1139E+02   .9999999 -.0002389  .0001568
T 1762 19 .1519196E+11   1100009E-01 -.1551E+02  .9671E+01   .9999999 -.0002768  .0001844
T 1763 19 .1519275E+11   1100011E-01  .5269E+00  .1666E+01   .9999999  .0000393  .0000094
T 1764 19 .1519243E+11   1100010E-01 -.3576E+01  .1872E+00   .9999999 -.0001079 -.0001102
T 1765 19 .1519263E+11   1100021E-01 -.1330E+01  .1632E+02   .9999999 -.0001125  .0001410
T 1766 19 .1519231E+11   1100009E-01 -.1353E+01 -.3527E+01   .9999999 -.0000035 -.0000546
T 1767 19 .1519259E+11   1100004E-01 -.1424E+02  .1978E+02   .9999999 -.0002834  .0003000
T 1768 19 .1519331E+11   1100012E-01  .2896E+01 -.1121E+01   .9999999  .0000423 -.0000586
T 1769 19 .1519306E+11   1100002E-01  .5550E-01  .6157E+01   .9999999  .0000720 -.0000015
T 1770 19 .1519267E+11   1100019E-01 -.1546E+01 -.4860E+01   .9999999 -.0000151 -.0000316
T 1771 19 .1519239E+11   1100018E-01  .2712E+00 -.1385E+02   .9999999  .0000672 -.0001629
T 1772 19 .1519238E+11   1100005E-01  .3456E+01 -.6281E+01   .9999999  .0000810 -.0001925
T 1773 19 .1519265E+11   1100003E-01 -.2286E+01 -.3009E+01   .9999999 -.0000067 -.0001174
T 1774 19 .1519218E+11   1100008E-01  .1674E+03 -.9150E+02   .9999978  .0018228 -.0010203
T 1775 19 .1519422E+11   1100016E-01  .5010E-01  .1344E+02   .9999999 -.0000177  .0000844
T 1776 19 .1519175E+11   1100019E-01  .2172E+02 -.1062E+02   .9999999  .0002502 -.0002251
T 1777 19 .1519295E+11   1100008E-01 -.1194E+02 -.5257E+01   .9999999 -.0000239 -.0001070
T 1778 19 .1519169E+11   1100009E-01  .6330E+01  .1336E+02   .9999999  .0001160  .0002266
T 1779 19 .1519325E+11   1100023E-01 -.5999E+01 -.8655E+01   .9999999 -.0000495 -.0001654
T 1780 19 .1519242E+11   1100022E-01  .2683E+01  .9730E+01   .9999999  .0000928  .0002362
T 1781 19 .1519209E+11   1100004E-01  .2523E+01  .5901E+01   .9999999 -.0000052  .0000547
T 1782 19 .1519341E+11   1100017E-01  .2342E+01  .2673E+01   .9999999 -.0001213  .0002062
T 1783 19 .1519164E+11   1100022E-01  .6088E+01 -.5322E+01   .9999999  .0001052 -.0000547
T 1784 19 .1519260E+11   1100022E-01 -.1142E+02  .8926E+01   .9999999 -.0001696  .0000834
T 1785 19 .1519179E+11   1100005E-01  .1607E+02 -.7923E+01   .9999999  .0002307 -.0000368
T 1786 19 .1519282E+11   1100001E-01 -.6881E+01 -.1286E+02   .9999999 -.0001152 -.0000302
T 1787 19 .1519269E+11   1100021E-01  .5141E+01 -.1510E+01   .9999999  .0001263  .0000013
T 1788 19 .1519241E+11   1100003E-01  .3154E+01  .1349E+00   .9999999  .0000806  .0000512
T 1789 19 .1519228E+11   1100017E-01  .1014E+02 -.1209E+02   .9999999  .0002447 -.0001979
T 1790 19 .1519344E+11   1100008E-01 -.4990E+01 -.3217E+01   .9999999  .0000248 -.0001260
T 1791 19 .1519127E+11   1100013E-01 -.2220E+02 -.1696E+02   .9999999 -.0002197 -.0003382
T 1792 19 .1519191E+11   1100001E-01  .3058E+01 -.1737E+02   .9999999  .0001961 -.0001904
T 1793 19 .1519244E+11   1100019E-01  .1336E+02  .1388E+02   .9999999  .0002647 -.0000333
T 1794 19 .1519253E+11   1100002E-01  .1736E+01  .6448E+01   .9999996  .0008867 -.0000551
T 1795 19 .1519319E+11   1100022E-01  .1245E+02  .1128E+02   .9999999  .0001898  .0001999
T 1796 19 .1519336E+11   1100010E-01  .2048E+02 -.1333E+01   .9999999  .0003831  .0000076
T 1797 19 .1519186E+11   1100017E-01 -.3867E+01  .1444E+01   .9999999 -.0000543  .0000485
T 1798 19 .1519164E+11   1100002E-01  .8375E+01  .3255E+01   .9999999  .0001184  .0000484
T 1799 19 .1519280E+11   1100022E-01  .2127E+01  .1352E+02   .9999999  .0000354  .0000514
T 1800 19 .1519301E+11   1100009E-01  .2623E+02 -.6023E+01   .9999999  .0003003  .0000473
T 1801 19 .1519212E+11   1100001E-01  .1699E+02  .3694E+02   .9999999  .0001937  .0003832
T 1802 19 .1519251E+11   1100000E-01  .1281E+02 -.4554E+01   .9999999  .0000932  .0000827
T 1803 19 .1519222E+11   1100002E-01  .1073E+02 -.4636E+00   .9999999 -.0000050  .0000969
T 1804 19 .1519279E+11   1100018E-01  .1644E+02 -.1417E+00   .9999999  .0003179  .0001174
T 1805 19 .1519324E+11   1100021E-01  .2695E+01 -.4995E+01   .9999999 -.0000190 -.0000719
T 1806 19 .1519335E+11   1100014E-01 -.6523E+01 -.8645E+01   .9999999 -.0000687 -.0000650
T 1807 19 .1519386E+11   1100015E-01 -.6411E+01 -.4478E+01   .9999999 -.0000101  .0000097
T 1808 19 .1519281E+11   1100008E-01  .8795E+00  .4887E+00   .9999999  .0000684  .0000994
T 1809 19 .1519302E+11   1100013E-01 -.6253E+01 -.3215E+01   .9999999 -.0001299 -.0003022
T 1810 19 .1519214E+11   1100016E-01 -.1171E+02 -.8535E+02   .9999997 -.0001595 -.0007264
T 1811 19 .1519257E+11   1100015E-01 -.3849E+01  .5568E+01   .9999999 -.0001168  .0000385
T 1812 19 .1519165E+11   1100016E-01  .2250E+02  .3858E+01   .9999999  .0003340  .0000284
T 1813 19 .1519358E+11   1100014E-01 -.9868E+01  .7018E+01   .9999999 -.0000976  .0000208
T 1814 19 .1519319E+11   1100010E-01  .4449E-01 -.6002E+01   .9999999  .0000409 -.0000749
T 1815 19 .1519173E+11   1100008E-01 -.4460E+01  .5052E+01   .9999999 -.0001683  .0001417
T 1816 19 .1519250E+11   1100018E-01  .1307E+02  .4310E+01   .9999999  .0001319  .0001891
T 1817 19 .1519172E+11   1100006E-01  .7953E+01 -.8800E+01   .9999999  .0000546 -.0001031
T 1818 19 .1519334E+11   1100002E-01 -.1317E+02  .3074E+01   .9999999 -.0001300  .0000743
T 1819 19 .1519259E+11   1100000E-01  .2391E+01 -.4446E+01   .9999999 -.0000579 -.0000784
T 1820 19 .1519205E+11   1100013E-01 -.4806E+00 -.1578E+02   .9999999 -.0001129 -.0002489
T 1821 19 .1519335E+11   1100011E-01 -.2065E+02  .2000E+02   .9999999 -.0002403  .0001565
T 1822 19 .1519262E+11   1100013E-01  .3443E+01  .7133E+01   .9999999  .0000959  .0000594
T 1823 19 .1519186E+11   1100004E-01  .7702E+01 -.9922E+01   .9999999  .0001679 -.0001243
T 1824 19 .1519287E+11   1100013E-01 -.9803E+01 -.6060E+01   .9999999 -.0001364 -.0001165
T 1825 19 .1519259E+11   1100004E-01  .1008E+02  .1747E+02   .9999999  .0002732  .0002199
T 1826 19 .1519323E+11   1100011E-01  .2902E+00 -.1921E+01   .9999999  .0000500 -.0000698
T 1827 19 .1519296E+11   1100023E-01  .1181E+02  .3611E+01   .9999999  .0002367  .0001536
T 1828 19 .1519417E+11   1100020E-01  .2819E+02 -.1164E+02   .9999995  .0009545 -.0003161
T 1829 19 .1519294E+11   1100012E-01 -.4485E+01  .5065E+01   .9999999 -.0001169  .0000337
T 1830 19 .1519375E+11   1100006E-01  .5233E+01 -.1181E+01   .9999999  .0000377 -.0000574
T 1831 19 .1519368E+11   1100003E-01  .6500E+01 -.2870E+01   .9999999  .0000395 -.0000646
T 1832 19 .1519192E+11   1100018E-01 -.4728E+01 -.1426E+01   .9999999 -.0000123 -.0002966
T 1833 19 .1519216E+11   1100005E-01 -.3594E+01  .7270E+01   .9999999 -.0001995  .0000439
T 1834 19 .1519091E+11   1100015E-01 -.5475E+01 -.2646E+01   .9999999 -.0001233 -.0000502
T 1835 19 .1519264E+11   1100020E-01 -.6757E+01 -.2025E+01   .9999999 -.0001006  .0000487
T 1836 19 .1519384E+11   1100003E-01  .4005E+01  .7441E+01   .9999999  .0001679  .0001344
T 1837 19 .1519351E+11   1100013E-01 -.9578E+01  .7909E+01   .9999999 -.0001551  .0001039
T 1838 19 .1519268E+11   1100016E-01 -.1617E+01 -.8107E+01   .9999999  .0000571 -.0002358
T 1839 19 .1519393E+11   1100021E-01 -.8848E+00 -.1606E+01   .9999999 -.0000151  .0000267
T 1840 19 .1519326E+11   1100011E-01  .5295E+01 -.6674E+01   .9999999  .0001402 -.0000464
T 1841 19 .1519448E+11   1100005E-01  .3802E+00  .1007E+02   .9999999 -.0000168  .0000640
T 1842 19 .1519261E+11   1100009E-01  .2198E+01 -.1155E+01   .9999999  .0000147 -.0000653
T 1843 19 .1519289E+11   1100019E-01  .5530E+01 -.1231E+01   .9999999  .0000051 -.0000606
T 1844 19 .1519259E+11   1100009E-01 -.2997E+01  .1704E+01   .9999999 -.0000770  .0000554
T 1845 19 .1519374E+11   1100004E-01 -.2176E+01 -.8675E+01   .9999999 -.0001580 -.0001833
T 1846 19 .1519292E+11   1100019E-01  .1195E+01 -.5665E+01   .9999999  .0000612 -.0000778
T 1847 19 .1519224E+11   1100007E-01 -.8989E+01 -.2377E+01   .9999999 -.0001282 -.0000505
T 1848 19 .1519271E+11   1100012E-01 -.2783E+01 -.8633E+01   .9999999 -.0000543 -.0000563
T 1849 19 .1519247E+11   1100016E-01 -.2988E+02 -.1386E+02   .9999999 -.0003611 -.0001304
T 1850 19 .1519297E+11   1100015E-01 -.1048E+02  .3378E+01   .9999999 -.0001367  .0000361
T 1851 19 .1519216E+11   1100001E-01 -.4547E+01  .7396E+01   .9999999 -.0000823  .0000315
T 1852 19 .1519174E+11   1100013E-01 -.3064E+02  .7945E+01   .9999998 -.0005561  .0002484
T 1853 19 .1519249E+11   1100015E-01 -.3564E+01 -.1008E+01   .9999999 -.0000014  .0001122
T 1854 19 .1519407E+11   1100019E-01 -.3523E+00  .1373E+02   .9999999 -.0000786  .0002159
T 1855 19 .1519330E+11   1100023E-01  .9088E+01  .3378E+01   .9999999  .0001166  .0000699
T 1856 19 .1519132E+11   1100012E-01  .9307E+01 -.6864E+01   .9999999  .0001605 -.0002189
T 1857 19 .1519251E+11   1100011E-01  .1523E+02  .9385E+01   .9999999  .0001301  .0000965
T 1858 19 .1519264E+11   1100015E-01  .1761E+01  .4164E+01   .9999999 -.0000009 -.0000148
T 1859 19 .1519235E+11   1100012E-01  .5575E+01  .3814E+01   .9999999  .0000349  .0001131
T 1860 19 .1519361E+11   1100007E-01 -.1138E+01  .1029E+02   .9999999 -.0000523  .0001465
T 1861 19 .1519338E+11   1100000E-01 -.3242E+01 -.2715E+00   .9999999 -.0002022  .0000008
T 1862 19 .1519302E+11   1100019E-01  .1081E+02 -.3090E-01   .9999999  .0002305 -.0001210
T 1863 19 .1519281E+11   1100020E-01 -.3235E+00 -.1310E+02   .9999999 -.0000529 -.0000726
T 1864 19 .1519245E+11   1100019E-01  .1959E+02 -.4411E+01   .9999999  .0002886 -.0000517
T 1865 19 .1519412E+11   1100012E-01  .3262E+01 -.3111E+01   .9999999 -.0000182 -.0000796
T 1866 19 .1519152E+11   1100018E-01  .3233E+01 -.3537E+01   .9999999 -.0000284 -.0001117
T 1867 19 .1519251E+11   1100022E-01 -.3060E+02 -.7524E+01   .9999999 -.0003085 -.0000085
T 1868 19 .1519303E+11   1100022E-01  .5971E+01 -.8571E+01   .9999999  .0001078 -.0002072
T 1869 19 .1519306E+11   1100014E-01 -.2151E+01 -.2531E+01   .9999999 -.0000921 -.0001100
T 1870 19 .1519324E+11   1100013E-01  .3270E+01 -.4973E+01   .9999999 -.0000012 -.0001468
T 1871 19 .1519403E+11   1100020E-01  .5829E+01 -.1629E+01   .9999999  .0000489  .0000304
T 1872 19 .1519348E+11   1100018E-01 -.1657E+01  .1682E+01   .9999999  .0000066 -.0000255
T 1873 19 .1519227E+11   1100019E-01  .6482E+01  .6103E+01   .9999999  .0000630  .0000345
T 1874 19 .1519440E+11   1100008E-01 -.2575E+00 -.7978E+01   .9999999  .0002039 -.0000517
T 1875 19 .1519227E+11   1100005E-01  .7757E+01 -.7418E+01   .9999999  .0001040 -.0001963
T 1876 19 .1519314E+11   1100009E-01  .1649E+02  .7076E+01   .9999999  .0000990  .0003545
T 1877 19 .1519233E+11   1100018E-01  .9928E+01  .6155E+01   .9999999  .0002177  .0000686
T 1878 19 .1519204E+11   1100002E-01 -.4609E+01 -.1203E+02   .9999999 -.0001401 -.0002049
T 1879 19 .1519281E+11   1100008E-01 -.5536E+01 -.1698E+02   .9999999 -.0001060 -.0003699
T 1880 19 .1519318E+11   1100022E-01  .4158E+02  .1738E+02   .9999998  .0002554  .0005655
