============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  34 um) ================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1 19 .1518522E+11   3400015E-01 -.4226E+02  .1047E+02   .9999999 -.0004159  .0001084
T    2 19 .1518045E+11   3400006E-01  .2373E+02 -.3012E+02   .9999999 -.0001895 -.0002289
T    3 19 .1518365E+11   3400015E-01  .9285E+00 -.1163E+01   .9999999  .0000133  .0000218
T    4 19 .1518214E+11   3400020E-01  .1660E+02 -.1940E+02   .9999999 -.0000485 -.0000319
T    5 19 .1518492E+11   3400016E-01 -.9821E+01  .1940E+02   .9999999  .0000682  .0001852
T    6 19 .1518090E+11   3400017E-01  .3153E+01  .2015E+01   .9999998  .0005977 -.0002581
T    7 19 .1518336E+11   3400022E-01 -.2777E+02  .6333E+01   .9999999 -.0000393  .0000544
T    8 19 .1518228E+11   3400006E-01 -.5290E+02  .1955E+02   .9999999 -.0003256  .0001609
T    9 19 .1518103E+11   3400022E-01 -.9410E+01  .8775E+01   .9999999 -.0000411  .0001146
T   10 19 .1518236E+11   3400020E-01 -.2606E+02  .1382E+02   .9999999 -.0001512 -.0000416
T   11 19 .1518205E+11   3400008E-01  .1318E+01 -.2667E+02   .9999999  .0000286 -.0000646
T   12 19 .1518238E+11   3400009E-01 -.2491E+02  .2514E+02   .9999999 -.0001675  .0002096
T   13 19 .1518218E+11   3400005E-01  .6123E+00 -.1496E+02   .9999999 -.0000498 -.0001111
T   14 19 .1518211E+11   3400004E-01  .7405E+01 -.5937E+01   .9999999  .0000550 -.0000309
T   15 19 .1518420E+11   3400014E-01 -.5090E+01 -.2618E+02   .9999999  .0000869 -.0000385
T   16 19 .1518066E+11   3400012E-01  .1540E+02 -.5104E+02   .9999999 -.0000720 -.0003683
T   17 19 .1518343E+11   3400020E-01  .1201E+02 -.1999E+02   .9999999  .0000709 -.0000763
T   18 19 .1518351E+11   3400010E-01 -.8208E+02  .1588E+03   .9999990 -.0008730  .0010806
T   19 19 .1518287E+11   3400006E-01 -.4884E+01  .2591E+01   .9999999 -.0000534  .0000302
T   20 19 .1518110E+11   3400022E-01  .3303E+02 -.6597E+00   .9999999  .0002767 -.0000811
T   21 19 .1518294E+11   3400002E-01  .6181E+01  .8884E+01   .9999999  .0000430  .0001203
T   22 19 .1518420E+11   3400001E-01 -.1407E+02  .3314E+02   .9999999 -.0000909  .0003468
T   23 19 .1518303E+11   3400008E-01  .2566E+01 -.1911E+02   .9999999 -.0000165 -.0002614
T   24 19 .1518314E+11   3400022E-01  .4727E+01 -.1247E+02   .9999999 -.0002616 -.0000326
T   25 19 .1518258E+11   3400023E-01  .2362E+02 -.6131E+02   .9999999  .0002865 -.0003313
T   26 19 .1518147E+11   3400019E-01 -.1725E+02 -.3883E+02   .9999999 -.0001291 -.0001144
T   27 19 .1518375E+11   3400012E-01 -.4803E+02 -.2989E+02   .9999999 -.0004523 -.0001294
T   28 19 .1518144E+11   3400020E-01  .8080E+02  .4571E+02   .9999999  .0003639  .0002419
T   29 19 .1518282E+11   3400000E-01 -.4102E+02  .3306E+02   .9999999 -.0003352  .0002119
T   30 19 .1518046E+11   3400003E-01  .1371E+02 -.4454E+01   .9999999 -.0000161 -.0000444
T   31 19 .1518247E+11   3400022E-01  .6544E+02 -.9852E+01   .9999998  .0005504 -.0000437
T   32 19 .1518249E+11   3400014E-01 -.3465E+01 -.4589E+02   .9999999  .0001229 -.0002659
T   33 19 .1518233E+11   3400006E-01 -.2849E+02 -.6977E+02   .9999998 -.0002516 -.0006172
T   34 19 .1518182E+11   3400012E-01  .6955E+01  .4246E+02   .9999999 -.0000475  .0002032
T   35 19 .1518237E+11   3400022E-01  .4856E+02  .1331E+02   .9999999  .0003199  .0000360
T   36 19 .1518150E+11   3400008E-01  .1397E+02 -.1363E+02   .9999999  .0001944 -.0000433
T   37 19 .1518271E+11   3400021E-01 -.7254E+01 -.3941E+01   .9999999 -.0000636 -.0001033
T   38 19 .1518182E+11   3400005E-01  .4309E+02  .4975E+02   .9999999  .0001228  .0003653
T   39 19 .1518254E+11   3400003E-01 -.3574E+02 -.7929E+01   .9999998 -.0006156 -.0001324
T   40 19 .1518088E+11   3400022E-01  .2313E+02 -.4202E+02   .9999999 -.0000041 -.0001998
T   41 19 .1518357E+11   3400022E-01  .1747E+02  .4579E+02   .9999999  .0003025  .0004202
T   42 19 .1518300E+11   3400005E-01  .8529E+02 -.3486E+02   .9999998  .0006520 -.0002143
T   43 19 .1518193E+11   3400012E-01 -.1771E+02  .2031E+01   .9999999 -.0000900  .0000090
T   44 19 .1518337E+11   3400016E-01  .1884E+02  .3073E+02   .9999999  .0000328  .0002171
T   45 19 .1518259E+11   3400022E-01 -.1295E+02  .9140E+00   .9999999 -.0003065  .0003668
T   46 19 .1518503E+11   3400013E-01  .2635E+02  .4685E+02   .9999999  .0001331  .0000095
T   47 19 .1518381E+11   3400020E-01  .4735E+02 -.3111E+01   .9999999  .0002103 -.0000390
T   48 19 .1518402E+11   3400009E-01 -.1002E+02 -.2417E+02   .9999999  .0000016 -.0002848
T   49 19 .1518194E+11   3400008E-01  .9676E+02  .1793E+02   .9999996  .0009075  .0001227
T   50 19 .1518407E+11   3400020E-01 -.7504E+01 -.4636E+02   .9999999  .0000356 -.0002178
T   51 19 .1518123E+11   3400012E-01  .2106E+02  .5065E+02   .9999999  .0002395  .0003668
T   52 19 .1518154E+11   3400001E-01 -.2129E+02 -.3462E+02   .9999999 -.0002527 -.0001907
T   53 19 .1518188E+11   3400007E-01 -.4526E+01 -.1008E+01   .9999999 -.0001522  .0002442
T   54 19 .1518104E+11   3400018E-01  .3320E+01  .3787E+02   .9999999 -.0000444  .0003115
T   55 19 .1518225E+11   3400019E-01  .6401E+02 -.3640E+02   .9999999  .0003454 -.0003224
T   56 19 .1518261E+11   3400017E-01  .5466E+01  .1874E+01   .9999999  .0001483 -.0002394
T   57 19 .1518415E+11   3400011E-01 -.3257E+02  .1938E+02   .9999999 -.0001743  .0000950
T   58 19 .1518332E+11   3400001E-01  .2302E+02  .7138E+01   .9999999  .0000459  .0004992
T   59 19 .1518387E+11   3400023E-01 -.6470E+01 -.1980E+02   .9999999 -.0000726 -.0001605
T   60 19 .1518215E+11   3400011E-01  .2496E+02  .7463E+02   .9999999  .0002493  .0002712
T   61 19 .1518221E+11   3400021E-01 -.1363E+02 -.4681E+02   .9999999 -.0002681 -.0004094
T   62 19 .1518307E+11   3400000E-01  .2429E+02 -.1512E+02   .9999999  .0003384  .0000477
T   63 19 .1518285E+11   3400013E-01  .5449E+02  .5027E+01   .9999999  .0001728  .0001648
T   64 19 .1518115E+11   3400001E-01  .1013E+02 -.3085E+02   .9999999  .0002514 -.0001850
T   65 19 .1518165E+11   3400022E-01  .4901E+00 -.2386E+02   .9999999  .0000158 -.0002051
T   66 19 .1518164E+11   3400011E-01  .3876E+02  .6129E+02   .9999997  .0002771  .0006822
T   67 19 .1518474E+11   3400003E-01 -.2077E+02 -.1625E+01   .9999999 -.0002275 -.0000371
T   68 19 .1518261E+11   3400020E-01  .8411E+01  .3731E+02   .9999999 -.0000750  .0003699
T   69 19 .1518265E+11   3400002E-01 -.3985E+02  .2123E+02   .9999999 -.0002450  .0000108
T   70 19 .1518346E+11   3400001E-01  .5642E+01  .4953E+02   .9999999  .0000723  .0003049
T   71 19 .1518378E+11   3400019E-01 -.4299E+01  .3765E+01   .9999999 -.0000147  .0000650
T   72 19 .1518170E+11   3400001E-01  .6364E+01  .2773E+02   .9999998  .0001666  .0005408
T   73 19 .1518237E+11   3400001E-01  .2388E+02 -.5085E+02   .9999999  .0000733 -.0005048
T   74 19 .1518161E+11   3400014E-01  .3008E+01  .3937E+02   .9999999  .0002056  .0002002
T   75 19 .1518371E+11   3400003E-01  .1108E+02  .5733E+01   .9999999  .0000659  .0000091
T   76 19 .1518347E+11   3400011E-01  .8236E+02 -.5397E+02   .9999998  .0005391 -.0001768
T   77 19 .1518153E+11   3400019E-01 -.3353E+02  .2300E+02   .9999999  .0000138  .0002545
T   78 19 .1518308E+11   3400022E-01  .4074E+02 -.3809E+00   .9999999  .0000651  .0001114
T   79 19 .1518341E+11   3400004E-01 -.5671E+01  .1887E+02   .9999999 -.0000449  .0003166
T   80 19 .1518242E+11   3400005E-01 -.8835E+01  .2777E+01   .9999999 -.0001230  .0000932
T   81 19 .1518238E+11   3400018E-01  .2587E+01 -.5533E+01   .9999999  .0000699 -.0001463
T   82 19 .1518281E+11   3400019E-01 -.5316E+02 -.3036E+02   .9999999 -.0003473 -.0001442
