============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  K(15.2 GeV) ==> Podk³adka+Tarcza(  34 um) ================
T   83 19 .1518221E+11   3400002E-01 -.3709E+02 -.4681E+01   .9999999 -.0004345 -.0000038
T   84 19 .1518331E+11   3400015E-01  .1073E+02  .2042E+02   .9999999  .0000973  .0000176
T   85 19 .1518217E+11   3400013E-01 -.1459E+02  .2168E+02   .9999999  .0000709  .0000476
T   86 19 .1518338E+11   3400005E-01  .2623E+02 -.1205E+02   .9999999  .0002463 -.0000798
T   87 19 .1518156E+11   3400013E-01  .1287E+02 -.1487E+02   .9999999  .0001840 -.0000138
T   88 19 .1518184E+11   3400016E-01 -.2420E+02 -.2848E+02   .9999999  .0000322 -.0002013
T   89 19 .1518503E+11   3400015E-01  .1719E+01 -.2786E+01   .9999999 -.0003623  .0002824
T   90 19 .1518191E+11   3400020E-01  .2221E+02 -.2201E+02   .9999999  .0000564 -.0001301
T   91 19 .1518120E+11   3400002E-01 -.3032E+02 -.7192E+02   .9999999 -.0002193 -.0003851
T   92 19 .1518392E+11   3400019E-01 -.1993E+02  .1230E+02   .9999999 -.0001473 -.0000085
T   93 19 .1518299E+11   3400016E-01  .3639E+02 -.2108E+01   .9999999  .0000361 -.0000262
T   94 19 .1518081E+11   3400001E-01  .2606E+02  .1194E+02   .9999999  .0001613  .0001247
T   95 19 .1518238E+11   3400019E-01  .1374E+02 -.4871E+02   .9999999  .0000532 -.0002344
T   96 19 .1518367E+11   3400016E-01 -.1739E+02  .8242E+01   .9999999  .0000229  .0000872
T   97 19 .1518260E+11   3400005E-01 -.5535E+01 -.8349E+01   .9999999  .0000233  .0000161
T   98 19 .1518161E+11   3400008E-01  .6789E+02 -.4545E+01   .9999999  .0002271 -.0000520
T   99 19 .1518362E+11   3400001E-01  .2866E+02 -.1459E+02   .9999999  .0000985 -.0003098
T  100 19 .1518291E+11   3400017E-01  .2110E+01  .1935E+02   .9999999 -.0002357  .0002839
T  101 19 .1518190E+11   3400004E-01  .2630E+02 -.2121E+02   .9999999  .0003043 -.0003339
T  102 19 .1518137E+11   3400018E-01 -.2249E+02  .2863E+02   .9999999 -.0000528  .0004176
T  103 19 .1518180E+11   3400009E-01  .8712E+01 -.3274E+02   .9999999  .0000705 -.0003709
T  104 19 .1518170E+11   3400020E-01 -.2947E+02 -.3128E+02   .9999999 -.0002528 -.0001929
T  105 19 .1518220E+11   3400021E-01  .4349E+02 -.9319E+00   .9999999  .0001342 -.0001246
T  106 19 .1518348E+11   3400022E-01  .1644E+02 -.2812E+02   .9999999  .0002941 -.0001059
T  107 19 .1518192E+11   3400008E-01  .5291E+02 -.2396E+01   .9999999  .0005210 -.0000915
T  108 19 .1518141E+11   3400015E-01  .2179E+02 -.1111E+02   .9999999  .0000212  .0000243
T  109 19 .1518176E+11   3400003E-01 -.2218E+02  .1007E+02   .9999999 -.0000749 -.0000867
T  110 19 .1518154E+11   3400021E-01  .3247E+01  .3671E+01   .9999999  .0001591  .0000208
T  111 19 .1518273E+11   3400002E-01 -.2900E+02 -.2587E+02   .9999999 -.0001629 -.0001564
T  112 19 .1518255E+11   3400022E-01  .3975E+02  .6281E+01   .9999999  .0003609  .0000222
T  113 19 .1518261E+11   3400000E-01 -.2662E+02  .3342E+01   .9999999 -.0002409  .0000656
T  114 19 .1518352E+11   3400018E-01 -.3083E+02  .1594E+02   .9999999 -.0003875  .0001941
T  115 19 .1518529E+11   3400013E-01 -.4495E+02 -.1821E+02   .9999999 -.0002619 -.0000373
T  116 19 .1518342E+11   3400008E-01  .7903E+02 -.2964E+02   .9999998  .0005506 -.0001856
T  117 19 .1518446E+11   3400017E-01  .1699E+02  .1028E+02   .9999999  .0003179  .0001645
T  118 19 .1518225E+11   3400010E-01 -.2843E+02 -.9531E+01   .9999999 -.0001230 -.0000054
T  119 19 .1518294E+11   3400011E-01  .8693E+01  .1042E+02   .9999999  .0000414 -.0000001
T  120 19 .1518432E+11   3400021E-01 -.9210E+01 -.2424E+02   .9999999 -.0000618 -.0003114
T  121 19 .1518300E+11   3400016E-01  .4261E+02  .9429E+02   .9999989  .0005954  .0013922
T  122 19 .1518285E+11   3400004E-01 -.3563E+02  .4256E+01   .9999999 -.0003252  .0002203
T  123 19 .1518226E+11   3400020E-01 -.2374E+02  .1616E+02   .9999999 -.0000570  .0001022
T  124 19 .1518254E+11   3400010E-01  .1868E+03  .1448E+03   .9999995  .0008772  .0005695
T  125 19 .1518401E+11   3400023E-01  .2089E+02 -.2491E+01   .9999999  .0002258 -.0002431
T  126 19 .1518181E+11   3400019E-01 -.2463E+02 -.2205E+02   .9999999 -.0001288  .0000116
T  127 19 .1518436E+11   3400016E-01  .5545E+01  .2874E+02   .9999999  .0001727  .0003957
T  128 19 .1518224E+11   3400003E-01  .1100E+02  .4306E+02   .9999999  .0001249 -.0000118
T  129 19 .1518301E+11   3400018E-01 -.2542E+02  .9283E+00   .9999999 -.0002132  .0002585
T  130 19 .1518181E+11   3400007E-01  .9538E+00 -.1054E+02   .9999999  .0000282  .0000175
T  131 19 .1518088E+11   3400005E-01 -.8604E+01 -.1278E+02   .9999999 -.0001360 -.0001486
T  132 19 .1518170E+11   3400014E-01  .2363E+02 -.2187E+02   .9999999  .0000744 -.0000915
T  133 19 .1518162E+11   3400022E-01 -.1802E+02  .4209E+02   .9999999 -.0000734  .0001423
T  134 19 .1518266E+11   3400017E-01  .5032E+02  .1193E+02   .9999999  .0003446  .0000724
T  135 19 .1518340E+11   3400013E-01  .2219E+02  .4797E+02   .9999999  .0000043  .0001547
T  136 19 .1518141E+11   3400021E-01  .1223E+02  .3383E+02   .9999999 -.0000270  .0002403
T  137 19 .1518069E+11   3400001E-01 -.5101E+01  .5154E+01   .9999999 -.0000575  .0001633
T  138 19 .1518305E+11   3400012E-01  .6616E+01 -.2243E+02   .9999999  .0000700 -.0002088
T  139 19 .1518124E+11   3400011E-01  .2783E+02  .3886E+02   .9999999  .0002070  .0002230
T  140 19 .1518430E+11   3400022E-01 -.1138E+02 -.9955E+01   .9999999  .0000498  .0001038
T  141 19 .1518240E+11   3400012E-01  .2074E+02 -.3474E+02   .9999999  .0000429 -.0002359
T  142 19 .1518203E+11   3400020E-01 -.1596E+02 -.1821E+02   .9999999 -.0002364 -.0000714
T  143 19 .1518305E+11   3400018E-01 -.5673E+02 -.2276E+02   .9999999 -.0004114 -.0001515
T  144 19 .1518371E+11   3400022E-01 -.4798E+01 -.1678E+02   .9999999  .0000431 -.0000549
T  145 19 .1518263E+11   3400017E-01 -.2421E+02  .5247E+02   .9999999  .0000640  .0004807
T  146 19 .1518283E+11   3400021E-01 -.9456E+01  .1030E+02   .9999999  .0001663  .0001214
T  147 19 .1518411E+11   3400019E-01  .7250E+01 -.1937E+02   .9999999  .0000729 -.0001683
T  148 19 .1518263E+11   3400022E-01 -.9545E+02  .5327E+02   .9999998 -.0004897  .0002971
T  149 19 .1518174E+11   3400022E-01 -.1304E+01  .1710E+02   .9999999 -.0000976  .0002754
T  150 19 .1518152E+11   3400006E-01 -.5434E+02  .1391E+02   .9999999 -.0003684 -.0000480
T  151 19 .1518373E+11   3400019E-01 -.2683E+02  .7304E+02   .9999999 -.0002498  .0004748
T  152 19 .1518443E+11   3400007E-01 -.3908E+02 -.7143E+01   .9999999 -.0002679  .0000097
T  153 19 .1518264E+11   3400022E-01  .8508E+02 -.2512E+02   .9999997  .0007065 -.0003060
T  154 19 .1518382E+11   3400015E-01  .2899E+02 -.4136E+02   .9999999  .0000788 -.0004604
T  155 19 .1518266E+11   3400010E-01 -.2594E+01 -.4297E+02   .9999999 -.0000074 -.0005304
T  156 19 .1518155E+11   3400018E-01  .2665E+02  .9493E+01   .9999999  .0002179  .0000495
T  157 19 .1518376E+11   3400005E-01 -.2075E+02  .4954E+02   .9999999 -.0001799  .0002416
T  158 19 .1518102E+11   3400023E-01  .2972E+01  .2397E+00   .9999999 -.0000330  .0000524
T  159 19 .1518267E+11   3400007E-01 -.1608E+02 -.5482E+01   .9999999 -.0000774  .0000106
T  160 19 .1518253E+11   3400021E-01 -.2235E+02 -.1061E+02   .9999999 -.0000712 -.0001895
T  161 19 .1518269E+11   3400008E-01  .2215E+02  .4327E+00   .9999999  .0000580 -.0001955
T  162 19 .1518128E+11   3400003E-01  .2787E+02 -.2244E+02   .9999999  .0002527 -.0002374
T  163 19 .1518485E+11   3400009E-01  .3220E+02  .3054E+02   .9999999  .0003318  .0001281
T  164 19 .1517927E+11   3400020E-01  .2295E+02  .3566E+02   .9999999  .0002238  .0002546
T  165 19 .1518185E+11   3400012E-01 -.5669E+01  .7419E+01   .9999999  .0000613  .0000466
T  166 19 .1518441E+11   3400016E-01 -.8434E+01  .2820E+02   .9999999  .0001038  .0001883
T  167 19 .1518531E+11   3400005E-01  .2515E+02 -.1615E+02   .9999999  .0001349 -.0001791
T  168 19 .1518194E+11   3400007E-01 -.6146E+01  .1393E+01   .9999999  .0003351 -.0000357
T  169 19 .1518202E+11   3400019E-01 -.3076E+02  .4040E+02   .9999999 -.0001734  .0002335
T  170 19 .1518380E+11   3400006E-01 -.8287E+01  .5590E+01   .9999999 -.0002474  .0000569
T  171 19 .1518255E+11   3400021E-01 -.2608E+02  .2005E+02   .9999999 -.0000479  .0002957
T  172 19 .1518288E+11   3400020E-01 -.6704E+02  .4730E+02   .9999997 -.0004438  .0006426
T  173 19 .1518263E+11   3400013E-01 -.4881E+02 -.3337E+01   .9999999 -.0004859  .0000044
T  174 19 .1518278E+11   3400009E-01 -.1676E+02 -.3141E+02   .9999999 -.0001136 -.0003054
T  175 19 .1518317E+11   3400017E-01 -.3124E+02  .2339E+02   .9999999 -.0000591  .0001981
T  176 19 .1518041E+11   3400006E-01  .1377E+02  .2942E+01   .9999999  .0001029  .0003125
T  177 19 .1518084E+11   3400015E-01  .1244E+02  .2651E+02   .9999999  .0001266  .0002594
T  178 19 .1518055E+11   3400020E-01 -.6835E+02  .4054E+02   .9999999 -.0003604 -.0000441
T  179 19 .1518304E+11   3400004E-01  .1921E+02  .1173E+02   .9999999  .0002046 -.0000056
T  180 19 .1518390E+11   3400018E-01  .5774E+02 -.2441E+02   .9999997  .0004328  .0006891
T  181 19 .1518098E+11   3400007E-01 -.3690E+02 -.1692E+02   .9999999 -.0002585 -.0000243
T  182 19 .1518262E+11   3400020E-01  .7107E+00 -.2728E+02   .9999999  .0000935 -.0003302
T  183 19 .1518178E+11   3400020E-01  .6727E+02 -.7308E+02   .9999999  .0005079 -.0001393
T  184 19 .1518322E+11   3400010E-01 -.4317E+02 -.6602E+01   .9999999 -.0002559 -.0000445
T  185 19 .1518037E+11   3400014E-01  .2793E+02 -.2769E+02   .9999999  .0002122 -.0001495
T  186 19 .1518201E+11   3400007E-01 -.4936E+02 -.4475E+01   .9999998 -.0005980 -.0000521
T  187 19 .1518493E+11   3400015E-01  .3723E+02 -.2794E+02   .9999999  .0000210 -.0001680
T  188 19 .1518325E+11   3400021E-01  .4237E+02 -.2274E+02   .9999999  .0004075 -.0000610
T  189 19 .1518354E+11   3400005E-01  .1840E+02 -.6164E+02   .9999999  .0000554 -.0003202
T  190 19 .1518256E+11   3400004E-01  .1363E+02 -.2246E+02   .9999999  .0002380 -.0001247
T  191 19 .1518114E+11   3400022E-01 -.1326E+03 -.1997E+03   .9999988 -.0006795 -.0014236
T  192 19 .1518124E+11   3400014E-01  .1964E+02  .4422E+02   .9999998  .0003028  .0006123
T  193 19 .1518310E+11   3400018E-01  .1435E+01  .8036E+02   .9999999 -.0000595  .0003381
T  194 19 .1518064E+11   3400022E-01  .1702E+02  .1377E+02   .9999999  .0000359  .0000180
T  195 19 .1518315E+11   3400005E-01  .2814E-01  .2157E+02   .9999999 -.0000774  .0001322
T  196 19 .1518332E+11   3400015E-01 -.3939E+02 -.8879E+01   .9999999 -.0003906 -.0000886
T  197 19 .1518413E+11   3400015E-01  .3410E+02  .1981E+02   .9999999  .0001785  .0002426
T  198 19 .1518254E+11   3400008E-01  .6758E+01  .5593E+01   .9999999  .0000863  .0000575
T  199 19 .1518346E+11   3400023E-01  .2327E+02 -.3486E+01   .9999999  .0003284 -.0001330
T  200 19 .1518443E+11   3400017E-01  .7526E+01 -.1955E+02   .9999999 -.0000187 -.0002245
T  201 19 .1518250E+11   3400018E-01  .4544E+02 -.1238E+02   .9999999  .0003206 -.0000023
T  202 19 .1518264E+11   3400021E-01  .3370E+01 -.3440E+02   .9999999  .0000001 -.0002271
T  203 19 .1518346E+11   3400018E-01 -.1920E+02 -.5844E+01   .9999999 -.0000591  .0000635
T  204 19 .1518195E+11   3400020E-01 -.1236E+02  .6828E+01   .9999999 -.0002348  .0002047
T  205 19 .1518204E+11   3400000E-01 -.1960E+02  .8519E+01   .9999999  .0000119  .0001061
T  206 19 .1518334E+11   3400003E-01  .8957E+01 -.3889E+01   .9999999  .0000286 -.0000984
T  207 19 .1518148E+11   3400014E-01  .4248E+02  .6323E+02   .9999999  .0002532  .0002432
T  208 19 .1518313E+11   3400011E-01 -.6568E+02  .4096E+02   .9999997 -.0005537  .0004462
T  209 19 .1518206E+11   3400009E-01 -.2273E+02  .1389E+02   .9999999 -.0002639  .0001764
T  210 19 .1518056E+11   3400016E-01  .7975E+01 -.1628E+02   .9999999  .0000066 -.0000751
T  211 19 .1518418E+11   3400012E-01 -.1712E+02 -.2046E+02   .9999999 -.0001048 -.0002300
T  212 19 .1518233E+11   3400021E-01  .1493E+03  .1343E+03   .9999994  .0007861  .0007655
T  213 19 .1518287E+11   3400013E-01  .1288E+02  .1320E+01   .9999999 -.0000421 -.0000237
T  214 19 .1518371E+11   3400014E-01  .2517E+02  .1789E+02   .9999999  .0001747  .0002906
T  215 19 .1518225E+11   3400018E-01  .3275E+02  .5670E+02   .9999999  .0000633  .0002453
T  216 19 .1518246E+11   3400001E-01  .2460E+02  .4354E+01   .9999999  .0002200  .0000722
T  217 19 .1518311E+11   3400021E-01 -.1965E+02  .4255E+02   .9999999 -.0001165  .0002246
T  218 19 .1518339E+11   3400019E-01  .8637E+01  .1993E+01   .9999999 -.0000735 -.0001823
T  219 19 .1518332E+11   3400008E-01  .1687E+02 -.2468E+02   .9999999  .0001401 -.0003130
T  220 19 .1518349E+11   3400019E-01 -.3609E+02  .1179E+02   .9999999 -.0000931  .0000187
T  221 19 .1518226E+11   3400018E-01 -.8707E+01 -.4019E+01   .9999999 -.0000647  .0000149
T  222 19 .1518089E+11   3400020E-01  .6731E+02  .3744E+02   .9999999  .0005249  .0000759
T  223 19 .1518318E+11   3400007E-01 -.3154E+02  .1235E+02   .9999999 -.0001321 -.0000537
T  224 19 .1518396E+11   3400014E-01 -.1371E+01 -.1615E+03   .9999997 -.0000450 -.0007701
T  225 19 .1518226E+11   3400020E-01 -.1463E+02 -.5017E+02   .9999999  .0001220 -.0005309
T  226 19 .1518043E+11   3400021E-01  .2522E+02 -.5817E+02   .9999999  .0000328 -.0003628
T  227 19 .1518254E+11   3400022E-01  .1611E+02 -.2120E+02   .9999999  .0001276 -.0002954
T  228 19 .1518131E+11   3400010E-01 -.3769E+02 -.2013E+02   .9999999 -.0003374 -.0000733
T  229 19 .1518099E+11   3400021E-01 -.1099E+02 -.5343E+01   .9999999 -.0000355 -.0000728
T  230 19 .1518385E+11   3400017E-01  .1467E+01  .8172E+01   .9999999  .0000479  .0000312
T  231 19 .1518385E+11   3400018E-01 -.1341E+02 -.1448E+02   .9999999 -.0000642 -.0001973
T  232 19 .1518308E+11   3400007E-01  .1808E+02 -.5357E+02   .9999998  .0001488 -.0005463
T  233 19 .1518173E+11   3400003E-01 -.1882E+01 -.8218E+01   .9999999 -.0001841 -.0001436
T  234 19 .1518323E+11   3400013E-01  .2447E+02  .1036E+02   .9999999  .0001582  .0000504
T  235 19 .1518212E+11   3400008E-01 -.1073E+02  .3370E+02   .9999999 -.0001571  .0001924
T  236 19 .1518246E+11   3400010E-01 -.8739E+01 -.9207E+01   .9999999 -.0001499 -.0000175
T  237 19 .1518298E+11   3400017E-01  .2674E+01 -.2471E+02   .9999999 -.0001104 -.0001854
T  238 19 .1518173E+11   3400019E-01  .1123E+02 -.1532E+01   .9999999 -.0000887 -.0001397
T  239 19 .1518168E+11   3400016E-01 -.2520E+02  .2412E+02   .9999999 -.0003238 -.0000572
T  240 19 .1518120E+11   3400008E-01  .4146E+01 -.2854E+02   .9999999 -.0000591 -.0002462
T  241 19 .1518353E+11   3400002E-01  .4527E+02  .1701E+02   .9999999  .0004900 -.0000011
T  242 19 .1518395E+11   3400012E-01 -.2163E+02 -.1919E+02   .9999999 -.0002823 -.0000244
T  243 19 .1518252E+11   3400000E-01  .4200E+02  .4770E+02   .9999999  .0003786  .0001685
T  244 19 .1518223E+11   3400003E-01  .6815E+00  .3979E+02   .9999999  .0000504  .0002295
T  245 19 .1518205E+11   3400009E-01  .4884E+02 -.8340E+01   .9999999  .0002803 -.0002816
T  246 19 .1518356E+11   3400016E-01  .5380E+01 -.1199E+02   .9999999  .0001161 -.0002804
T  247 19 .1518316E+11   3400009E-01  .5287E+02 -.1409E+02   .9999999  .0002958 -.0001210
T  248 19 .1518298E+11   3400012E-01 -.9131E+01 -.1904E+02   .9999999  .0001086 -.0001605
T  249 19 .1518348E+11   3400020E-01 -.3044E+01  .7984E+02   .9999998  .0001684  .0006745
T  250 19 .1518180E+11   3400019E-01  .3058E+02 -.1484E+02   .9999999  .0002893  .0000667
T  251 19 .1518308E+11   3400016E-01  .2827E+02  .2680E+02   .9999999  .0001355  .0002001
T  252 19 .1518124E+11   3400001E-01 -.4992E+02 -.1362E+02   .9999999 -.0000268  .0000983
T  253 19 .1518244E+11   3400007E-01  .6911E+01 -.2578E+02   .9999999 -.0000176 -.0001273
T  254 19 .1518354E+11   3400020E-01 -.1549E+02 -.2598E+02   .9999999  .0000101 -.0001078
T  255 19 .1518071E+11   3400016E-01  .2637E+01 -.3771E+01   .9999999 -.0002258  .0000001
